      fo_v2	      Io_v2	      Eo_v2
  3.2682363e+003  1.7798332e-021  1.3483164e+003
  3.2957603e+003  9.3622298e-022  1.3667536e+003
  3.3117161e+003  9.5891320e-022  1.3777986e+003
  3.3171991e+003  1.9292091e-021  1.3814774e+003
  3.3532681e+003  2.3560218e-030  5.8568680e+003
  3.3707191e+003  1.3034047e-022  1.0524145e+003
  3.3736130e+003  5.2309347e-021  1.0523183e+003
  3.3809903e+003  2.5679070e-021  1.0483661e+003
  3.4036127e+003  2.1911863e-021  1.0364844e+003
  3.4422586e+003  2.8489137e-021  1.0166214e+003
  3.5009738e+003  2.4153457e-033  7.2959701e+003
  3.5620692e+003  5.0521856e-031  6.1987654e+003
  3.6795753e+003  3.6272651e-022  1.3378799e+003
  3.7257199e+003  1.9727829e-031  6.5533344e+003
  3.7303545e+003  2.2196234e-024  1.4921275e+003
  3.7609218e+003  1.6977717e-032  6.9200212e+003
  3.7616464e+003  2.9722087e-035  8.2192650e+003
  3.7635466e+003  1.1360025e-021  1.3862606e+003
  3.8288210e+003  6.8011021e-022  1.4270100e+003
  3.8784714e+003  7.3854897e-022  1.4602214e+003
  3.9150584e+003  1.5320724e-021  1.4859663e+003
  3.9286857e+003  2.9246863e-021  1.1286604e+003
  3.9397788e+003  7.7979294e-022  1.5043243e+003
  3.9507236e+003  2.7231985e-021  1.1168355e+003
  3.9542651e+003  7.8465599e-022  1.5153167e+003
