      fo_rot	      Io_rot	      Eo_rot	    gNH3_rot	      gH2_rot	     gHe_rot
  5.8536426e+003  5.2915061e-020  8.8457630e+002  5.8761000e+000  1.4270000e+000  8.3070000e-001
  5.8558398e+003  5.3998202e-020  8.7382310e+002  7.2851000e+000  1.4510000e+000  8.2120000e-001
  5.8593815e+003  1.1129593e-019  8.5586500e+002  8.5743000e+000  1.5560000e+000  8.1160000e-001
  5.8645569e+003  5.7953450e-020  8.3066470e+002  1.0253200e+001  1.6309000e+000  8.0200000e-001
  5.8710782e+003  6.0350281e-020  7.9814160e+002  1.1782100e+001  1.6849000e+000  7.9240000e-001
  5.8783584e+003  1.0606676e-019  8.8770740e+002  4.9167000e+000  1.4151000e+000  8.4030000e-001
  5.8790503e+003  1.2438823e-019  7.5820920e+002  1.3491000e+001  1.8288000e+000  7.8280000e-001
  5.8792938e+003  5.3404678e-020  8.8412220e+002  1.3491000e+001  1.8288000e+000  7.8280000e-001
  5.8821514e+003  5.4510391e-020  8.7335690e+002  7.2851000e+000  1.4900000e+000  8.2120000e-001
  5.8870545e+003  1.1268842e-019  8.5538540e+002  8.6043000e+000  1.5650000e+000  8.1160000e-001
  5.8884353e+003  6.2012508e-020  7.1075490e+002  1.5139900e+001  1.9307000e+000  7.7320000e-001
